S_No,UBR,Course_Name,Record_Type,PO,Currency,Amount,Term,Delivery_Date,Check_Course_Currency,Check_Course_Amount,Check_Course_Term
1,UBR1,Python Basics 1,Single,abc1,INR,342,Per Learner,06-05-2026,,,
2,UBR2,Python Basics 2,Single,abc2,INR,318,Per Learner,11-05-2026,,,
3,UBR3,Python Basics 3,Single,abc3,INR,348,Per Learner,14-07-2026,,,
4,UBR4,Python Basics 4,Single,abc4,INR,294,Per Learner,14-03-2026,,,
5,UBR5,Python Basics 4,Single,abc5,INR,294,Per Learner,19-12-2026,,,
6,UBR6,Python Basics 4,Single,abc6,INR,294,Per Learner,25-05-2026,,,
7,UBR7,Python Basics 4,Single,abc7,INR,294,Per Learner,05-09-2026,,,
8,UBR8,Python Basics 5,Single,abc8,INR,101,Per Learner,02-10-2026,,,
9,UBR9,Python Basics 6,Single,abc9,INR,198,Per Learner,14-09-2026,,,
10,UBR10,Python Basics 7,Single,abc10,INR,114,Per Learner,16-06-2026,,,
11,UBR11,Python Basics 8,Single,abc11,INR,231,Per Learner,20-12-2026,,,
11,UBR12,Python Basics 8,Single,abc11,INR,231,Per Learner,05-08-2026,,,
11,UBR13,Python Basics 8,Single,abc11,INR,231,Per Learner,03-06-2026,,,
11,UBR14,Python Basics 8,Single,abc11,INR,231,Per Learner,12-11-2026,,,
11,UBR15,Python Basics 8,Single,abc11,INR,231,Per Learner,24-05-2026,,,
11,UBR16,Python Basics 8,Single,abc11,INR,231,Per Learner,17-12-2026,,,
11,UBR17,Python Basics 8,Single,abc11,INR,231,Per Learner,15-09-2026,,,
11,UBR18,Python Basics 8,Single,abc11,INR,231,Per Learner,07-12-2026,,,
